BUKRS,BELNR,GJAHR,BLART,BLDAT,BUDAT,WAERS,XBLNR
1000,1900001916,2025,RE,2025-11-08,2025-11-09,EUR,4500090696
1000,1900001917,2025,RE,2025-01-07,2025-01-12,EUR,4500090430
1000,1900001918,2025,RE,2024-07-31,2024-08-01,AED,4500091832
1000,1900001919,2024,RE,2024-07-20,2024-07-22,EUR,4500091937
2000,1900001920,2024,RE,2024-12-18,2024-12-21,EUR,4500090451
2000,1900001921,2024,RE,2024-09-28,2024-10-01,EUR,4500091220
2000,1900001922,2025,RE,2024-04-09,2024-04-14,EUR,4500090729
3000,1900001923,2025,RE,2025-10-15,2025-10-18,AED,4500090064
2000,1900001924,2025,RE,2025-08-02,2025-08-03,USD,4500090164
3000,1900001925,2025,RE,2025-08-16,2025-08-16,USD,4500091050
2000,1900001926,2025,RE,2025-10-01,2025-10-06,AED,4500090902
3000,1900001927,2025,RE,2025-11-23,2025-11-27,EUR,4500091871
3000,1900001928,2025,RE,2025-09-12,2025-09-14,USD,4500091423
1000,1900001929,2025,RE,2025-08-24,2025-08-25,EUR,4500091386
3000,1900001930,2025,RE,2025-09-15,2025-09-20,USD,4500091052
3000,1900001931,2024,RE,2025-04-27,2025-04-28,USD,4500090048
3000,1900001932,2025,RE,2025-07-22,2025-07-25,AED,4500091980
1000,1900001933,2024,RE,2024-09-15,2024-09-19,EUR,4500091417
3000,1900001934,2024,RE,2025-08-29,2025-08-31,EUR,4500091996
2000,1900001935,2024,RE,2024-03-14,2024-03-18,AED,4500090029
3000,1900001936,2025,RE,2024-01-03,2024-01-03,USD,4500091012
2000,1900001937,2025,RE,2024-05-18,2024-05-23,EUR,4500091491
1000,1900001938,2025,RE,2025-08-19,2025-08-21,EUR,4500090017
1000,1900001939,2024,RE,2025-08-08,2025-08-11,AED,4500091810
1000,1900001940,2024,RE,2024-06-08,2024-06-13,EUR,4500090556
2000,1900001941,2025,RE,2024-02-29,2024-03-04,EUR,4500090128
1000,1900001942,2025,RE,2024-04-20,2024-04-23,AED,4500090298
3000,1900001943,2025,RE,2025-06-11,2025-06-12,EUR,4500091812
3000,1900001944,2024,RE,2024-05-18,2024-05-23,USD,4500091534
1000,1900001945,2025,RE,2025-02-26,2025-03-03,AED,4500090794
3000,1900001946,2024,RE,2025-12-27,2025-12-28,USD,4500090157
1000,1900001947,2025,RE,2025-01-25,2025-01-27,AED,4500090931
2000,1900001948,2024,RE,2024-08-14,2024-08-18,AED,4500091854
3000,1900001949,2024,RE,2024-10-27,2024-10-28,EUR,4500091034
1000,1900001950,2025,RE,2025-05-13,2025-05-15,AED,4500091642
2000,1900001951,2025,RE,2025-08-08,2025-08-13,AED,4500091049
1000,1900001952,2025,RE,2024-10-03,2024-10-04,EUR,4500091259
2000,1900001953,2024,RE,2024-12-05,2024-12-08,AED,4500090473
2000,1900001954,2024,RE,2024-10-20,2024-10-20,USD,4500091004
1000,1900001955,2025,RE,2024-12-24,2024-12-29,AED,4500091876
2000,1900001956,2024,RE,2024-04-03,2024-04-07,AED,4500090764
3000,1900001957,2024,RE,2024-09-09,2024-09-14,USD,4500091275
2000,1900001958,2024,RE,2024-11-08,2024-11-09,USD,4500090406
1000,1900001959,2025,RE,2024-01-24,2024-01-25,USD,4500090122
3000,1900001960,2024,RE,2024-04-18,2024-04-23,AED,4500090786
2000,1900001961,2025,RE,2025-05-17,2025-05-21,EUR,4500090639
2000,1900001962,2024,RE,2025-01-23,2025-01-24,EUR,4500090595
1000,1900001963,2025,RE,2024-10-14,2024-10-14,EUR,4500090123
1000,1900001964,2024,RE,2025-03-10,2025-03-12,EUR,4500090431
1000,1900001965,2024,RE,2025-05-04,2025-05-08,AED,4500090508
1000,1900001966,2025,RE,2024-05-21,2024-05-26,AED,4500091359
2000,1900001967,2025,RE,2025-03-13,2025-03-13,USD,4500091930
1000,1900001968,2025,RE,2025-06-14,2025-06-17,AED,4500091254
2000,1900001969,2024,RE,2024-12-22,2024-12-22,AED,4500090159
1000,1900001970,2024,RE,2025-04-02,2025-04-07,USD,4500090925
1000,1900001971,2024,RE,2024-02-11,2024-02-14,USD,4500091036
2000,1900001972,2024,RE,2025-11-04,2025-11-06,EUR,4500091022
1000,1900001973,2024,RE,2025-05-10,2025-05-10,AED,4500090135
3000,1900001974,2025,RE,2024-08-16,2024-08-17,USD,4500091908
1000,1900001975,2025,RE,2024-08-25,2024-08-26,EUR,4500090175
2000,1900001976,2025,RE,2025-09-28,2025-10-03,USD,4500090831
2000,1900001977,2024,RE,2024-04-24,2024-04-28,EUR,4500090081
2000,1900001978,2024,RE,2025-01-13,2025-01-16,EUR,4500091621
1000,1900001979,2024,RE,2024-04-30,2024-05-02,EUR,4500091870
1000,1900001980,2024,RE,2024-05-13,2024-05-14,AED,4500090372
3000,1900001981,2025,RE,2025-07-04,2025-07-09,AED,4500090694
3000,1900001982,2025,RE,2025-04-17,2025-04-22,EUR,4500090141
2000,1900001983,2025,RE,2024-12-31,2025-01-05,EUR,4500091063
2000,1900001984,2024,RE,2024-11-10,2024-11-12,EUR,4500091082
2000,1900001985,2024,RE,2025-06-05,2025-06-09,AED,4500091690
3000,1900001986,2025,RE,2024-07-28,2024-07-31,USD,4500090904
1000,1900001987,2025,RE,2025-04-14,2025-04-14,USD,4500091103
3000,1900001988,2024,RE,2025-05-16,2025-05-21,EUR,4500091077
2000,1900001989,2024,RE,2025-03-03,2025-03-06,USD,4500090949
3000,1900001990,2025,RE,2025-12-09,2025-12-10,AED,4500090947
1000,1900001991,2024,RE,2024-10-18,2024-10-18,AED,4500090850
1000,1900001992,2025,RE,2025-09-03,2025-09-06,USD,4500090703
1000,1900001993,2025,RE,2024-03-03,2024-03-06,AED,4500091231
3000,1900001994,2025,RE,2024-01-28,2024-01-28,AED,4500090690
3000,1900001995,2024,RE,2024-06-25,2024-06-27,EUR,4500090213
1000,1900001996,2025,RE,2024-12-31,2025-01-03,AED,4500091176
2000,1900001997,2024,RE,2025-10-23,2025-10-28,USD,4500090751
2000,1900001998,2024,RE,2025-06-28,2025-06-30,AED,4500090960
3000,1900001999,2025,RE,2024-10-03,2024-10-04,USD,4500090630
